"Species","ScientificName","CommonName","AlternateTaxonName","SpeciesName","Life_Stage","Sex"
,"Anarrhichthys ocellatus","wolf eel","Anarrhichthys ocellatus","wolf eel",,
,"Anisotremus davidsonii","sargo","Anisotremus davidsonii","sargo",,
,"Apogon atricaudus","plain cardinalfish","Apogon atricaudus","plain cardinalfish","",""
,"Apogon guadalupensis","guadalupe cardinalfish","Apogon guadalupensis","guadalupe cardinalfish",,
,"Artedius corallinus","coralline sculpin","Artedius corallinus","coralline sculpin",,
,"Artedius creaseri","roughcheek sculpin","Artedius creaseri","roughcheek sculpin",,
,"Artedius harringtoni","scalyhead sculpin","Artedius harringtoni","scalyhead sculpin",,
,"Atherinops affinis","top smelt","Atherinops affinis","top smelt",,
,"Atherinops affinis","top smelt, adult","Atherinops affinis","top smelt, adult","Adult",""
,"Atherinops affinis","top smelt, juvenile","Atherinops affinis","top smelt, juvenile","Juvenile",""
,"Atherinopsis californiensis","jack smelt","Atherinopsis californiensis","jack smelt",,
,"Atractoscion nobilis","white seabass","Atractoscion nobilis","white seabass",,
,"Aulorhynchus flavidus","tubesnout","Aulorhynchus flavidus","tubesnout",,
,"Aulorhynchus flavidus","tubesnout, juvenile","Aulorhynchus flavidus, juvenile","tubesnout, juvenile","Juvenile",
,"Azurina hirundo","swallowtail damselfish","Azurina hirundo","swallowtail damselfish","Adult",""
,"baitfish, unidentified","baitfish unidentified","baitfish, unidentified","baitfish, unidentified",,
,"Balistes polylepis","finescale triggerfish, adult","Balistes polylepis, adult","finescale triggerfish, adult","Adult",
,"Balistes polylepis","finescale triggerfish, all","Balistes polylepis, all","finescale triggerfish, all","All",
,"Bathymasteridae","ronquil spp.","Bathymasteridae spp.","ronquil spp.",,
,"Brachyistius frenatus","kelp surfperch","Brachyistius frenatus","kelp surfperch",,
,"Carcharodon carcharias","white shark","Carcharodon carcharias","white shark","All",""
,"Caulolatilus princeps","ocean whitefish, adult","Caulolatilus princeps, adult","ocean whitefish, adult","Adult",
,"Caulolatilus princeps","ocean whitefish, all","Caulolatilus princeps, all","ocean whitefish, all","All",
,"Caulolatilus princeps","ocean whitefish, juvenile","Caulolatilus princeps, juvenile","ocean whitefish, juvenile","Juvenile",
,"Cebidichthys violaceus","monkeyface prickleback","Cebidichthys violaceus","monkeyface prickleback",,
,"Cephaloscyllium ventriosum","swell shark","Cephaloscyllium ventriosum","swell shark",,
,"Chaenopsis alepidota","orangethroat pikeblenny","Chaenopsis alepidota","orangethroat pikeblenny","",""
,"Cheilotrema saturnum","black croaker","Cheilotrema saturnum","black croaker",,
,"Chirolophis nugator","mosshead warbonnet","Chirolophis nugator","mosshead warbonnet",,
,"Chromis punctipinnis","blacksmith, all","Chromis punctipinnis, all","blacksmith, all","All",
,"Citharichthys","sanddab spp.","Citharichthys spp.","sanddab spp.",,
,"Citharichthys stigmaeus","speckled sanddab","Citharichthys stigmaeus","speckled sanddab",,
,"Cottidae","sculpin spp.","Cottidae spp.","sculpin spp.",,
,"Cymatogaster aggregata","shiner surfperch","Cymatogaster aggregata","shiner surfperch",,
,"Embiotoca jacksoni","black surfperch, all","Embiotoca jacksoni, all","black surfperch, all","All",
,"Embiotoca lateralis","striped surfperch, all","Embiotoca lateralis, all","striped surfperch, all","All",
,"Embiotocidae","surfperch spp.","Embiotocidae","surfperch spp.",,
,"Embiotocidae","surfperch spp., adult","Embiotocidae, adult","surfperch spp., adult","Adult",
,"Embiotocidae","surfperch spp., juvenile","Embiotocidae, juvenile","surfperch spp., juvenile","Juvenile",
,"Engraulis mordax","northern anchovy","Engraulis mordax","northern anchovy",,
,"Galeorhinus galeus","soupfin shark","Galeorhinus galeus","soupfin shark",,
,"Gibbonsia","kelpfish spp.","Gibbonsia spp.","kelpfish spp.",,
,"Gibbonsia elegans","spotted kelpfish","Gibbonsia elegans","spotted kelpfish",,
,"Gibbonsia montereyensis","crevice kelpfish","Gibbonsia montereyensis","crevice kelpfish",,
